latitude,era5_elevation_m,era5_land_elevation_m,era5_pressure_hpa,era5_land_pressure_hpa,era5_altitude_m,era5_land_altitude_m,elevation_difference_m,pressure_difference_hpa,altitude_difference_m,expected_pressure_difference_hpa,era5_land_available
35.5,280.61021769985166,344.0058519848293,980.519375,982.291875,559.0677374590439,638.6466097333551,63.39563428497763,1.7725000000000364,79.57887227431127,-7.077230008101612,True
35.50503355704698,277.64740529584657,337.26192788066516,980.8741401006711,982.6165394295301,559.273612299098,634.7980437338117,59.61452258481859,1.742399328859051,75.52443143471373,-6.658146072801599,True
35.51006711409396,274.6845928918415,330.5180037765011,981.2289052013422,982.9412038590604,559.4779467097903,630.9481678494678,55.8334108846596,1.7122986577181791,71.4702211396775,-6.238679067350874,True
35.51510067114094,271.72178048783223,323.77407967232745,981.5836703020136,983.2658682885908,559.6807415688149,627.0969827593842,52.05229918449521,1.6821979865771937,67.41624119056928,-5.818828885389765,True
35.52013422818792,268.75896808382714,317.0301555681633,981.9384354026847,983.5905327181212,559.8819977529606,623.2444891420614,48.27118748433617,1.6520973154364356,63.362491389100796,-5.39859542052102,True
35.5251677852349,265.79615567982205,310.2862314639992,982.2932005033556,983.9151971476512,560.081716138219,619.3906876753513,44.49007578417712,1.6219966442955638,59.308971537132265,-4.977978566306212,True
35.53020134228188,262.83334327581696,303.54230735983504,982.6479656040267,984.2398615771813,560.2798975997092,615.5355790365365,40.70896408401808,1.5918959731545783,55.25568143682733,-4.556978216268084,True
35.535234899328856,259.87053087181187,296.79838325567096,983.0027307046978,984.5645260067115,560.4765430116745,611.6791639023015,36.92785238385909,1.5617953020137065,51.20262089062703,-4.135594263889956,True
35.54026845637584,256.9077184678026,290.0544591514973,983.3574958053692,984.8891904362421,560.6716532475494,607.8214429487011,33.1467406836947,1.5316946308728348,47.14978970115169,-3.713826602615087,True
35.54530201342282,253.94490606379756,283.3105350473332,983.7122609060403,985.2138548657723,560.8652291799059,603.9624168512314,29.36562898353563,1.501593959731963,43.097187671325514,-3.291675125849062,True
35.5503355704698,250.98209365979244,276.56661094316905,984.0670260067113,985.5385192953024,561.0572716804686,600.1020862847608,25.584517283376613,1.4714932885910912,39.04481460429224,-2.869139726956206,True
35.55536912751678,248.01928125578738,269.8226868390049,984.4217911073824,985.8631837248325,561.2477816201017,596.2404519235799,21.80340558321754,1.4413926174501057,34.992670303478235,-2.4462202992619093,True
35.560402684563755,245.0564688517823,263.0787627348408,984.7765562080534,986.1878481543628,561.4367598688565,592.377514441361,18.022293883058467,1.4112919463093476,30.94075457250449,-2.022916736052055,True
